,DBA,BORO,BUILDING,STREET,CUISINE DESCRIPTION,Latitude,Longitude,SCORE,GRADE,RECORD DATE
265663,AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL ST,French,40.730571688241,-74.00000721624001,11.0,A,02/16/2020
265529,RUBY TUESDAY,Manhattan,7,TIMES SQUARE TOWER,American,40.755907817312,-73.986680953809,11.0,A,02/16/2020
265331,MEE NOODLE SHOP,Manhattan,223,1ST AVE,Chinese,40.730864106929005,-73.982922693026,13.0,A,02/16/2020
265304,LA VRAIE RACLETTE,Manhattan,511,E 12TH ST,French,40.728871072395,-73.980805293559,13.0,A,02/16/2020
264962,SABROSAZON RESTAURANT,Manhattan,2002,AMSTERDAM AVE,Spanish,40.834253298751,-73.941023361053,12.0,A,02/16/2020
264897,GREAT CHINA RESTAURANT,Staten Island,2154,FOREST AVE,Chinese,40.626593098971,-74.161275784684,12.0,A,02/16/2020
264446,TIME INC. CAFE AND COFFEE BAR,Manhattan,225,LIBERTY ST,American,40.711530166285,-74.015672785414,6.0,A,02/16/2020
266181,SILVER PALACE CHINESE RESTAURANT,Manhattan,3846,BROADWAY,Chinese,40.836192232967,-73.943305602028,33.0,C,02/16/2020
264370,FIVE SENSES,Manhattan,9,W 32ND ST,Korean,40.747390750548,-73.98605108213701,10.0,A,02/16/2020
269625,DEL FRISCO'S GRILLE,Manhattan,200,VESEY ST,American,40.714439645900995,-74.015493110018,17.0,B,02/16/2020
274523,CAFETAL SOCIAL CLUB/CHACHIS,Manhattan,285,MOTT STREET,Italian,40.72415703468,-73.99442599334,13.0,A,02/16/2020
273337,T.G.I. FRIDAY'S,Manhattan,47,BROADWAY,American,40.706436231226,-74.0127897431,11.0,A,02/16/2020
273298,BARN JOO 35,Manhattan,34,W 35TH ST,Korean,40.749641374373,-73.985404569998,9.0,A,02/16/2020
272769,SHERATON NEW YORK HOTEL & TOWERS,Manhattan,811,7 AVENUE,American,40.762667534145,-73.982095067784,12.0,A,02/16/2020
272703,HAN DYNASTY,Manhattan,90,3RD AVE,Chinese,40.732113624134,-73.98805323736201,13.0,A,02/16/2020
272563,KBBQ,Manhattan,672,LEXINGTON AVE,Korean,40.760068406716,-73.969764951722,2.0,A,02/16/2020
272533,Rafele,Manhattan,29,7 AVENUE SOUTH,Italian,40.730804909105004,-74.004394705519,12.0,A,02/16/2020
272267,NEW SHUN WEI RESTAURANT,Manhattan,45,CATHERINE STREET,Chinese,40.711890760013,-73.99689428274901,23.0,B,02/16/2020
